,full_name,selling_price,new-price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,Brand
1793,Honda Jazz 1.2,560000,1148000,2015,Dealer,19570,First Owner,Petrol,Manual,18.7,Honda
1794,Honda City i,590000,1752000,2014,Dealer,74000,First Owner,Diesel,Manual,26.0,Honda
1795,Honda WR-V i-DTEC,890000,1331000,2018,Dealer,33000,First Owner,Diesel,Manual,25.5,Honda
1796,Maruti Swift VXI,550000,931000,2017,Dealer,10000,First Owner,Petrol,Manual,21.21,Maruti
1797,Hyundai Creta 1.4,925000,2082000,2018,Dealer,62000,First Owner,Diesel,Manual,22.1,Hyundai
1798,Maruti Eeco 5,315000,513999,2014,Dealer,63000,First Owner,Petrol,Manual,15.37,Maruti
1799,Maruti Vitara Brezza,1225000,1338000,2020,Dealer,12000,First Owner,Petrol,Automatic,18.76,Maruti
1800,Hyundai Santro GS,175000,707000,2006,Individual,90000,First Owner,Petrol,Manual,0.0,Hyundai
1801,Ford Figo Diesel,250000,997000,2010,Individual,60000,First Owner,Diesel,Manual,20.0,Ford
1802,Hyundai Verna 1.6,484999,1811000,2014,Dealer,77000,First Owner,Diesel,Manual,22.32,Hyundai
1803,Maruti Ciaz ZXi,715000,1329000,2016,Individual,22000,First Owner,Petrol,Manual,20.73,Maruti
1804,Maruti Wagon R,265000,720000,2012,Dealer,65000,First Owner,Petrol,Manual,18.9,Maruti
1805,Maruti Wagon R,215000,719000,2012,Individual,84000,First Owner,Petrol,Manual,18.9,Maruti
1806,Hyundai i20 Magna,509999,1324000,2016,Individual,70000,First Owner,Petrol,Manual,18.6,Hyundai
1807,Maruti Celerio ZXI,520000,660000,2019,Individual,20000,First Owner,Petrol,Automatic,23.1,Maruti
1808,Hyundai i20 1.2,375000,1323000,2012,Dealer,79330,First Owner,Petrol,Manual,17.0,Hyundai
1809,Mahindra Bolero B4,800000,1053000,2020,Individual,12000,First Owner,Diesel,Manual,21.0,Mahindra
1810,Hyundai i20 Asta,550000,1323000,2015,Individual,35000,First Owner,Petrol,Manual,18.6,Hyundai
1811,Volkswagen Vento Petrol,400000,1596000,2013,Individual,120000,First Owner,Petrol,Manual,15.04,Volkswagen
1812,Honda Amaze S,645000,1036000,2018,Dealer,12000,First Owner,Petrol,Manual,17.8,Honda
1813,Mahindra Bolero 2011-2019,400000,1055000,2012,Individual,100000,First Owner,Diesel,Manual,15.96,Mahindra
1814,Mahindra Bolero B4,680000,1055000,2016,Dealer,62257,First Owner,Diesel,Manual,21.0,Mahindra
1815,Mahindra Scorpio S4,900000,1928000,2017,Dealer,68462,First Owner,Diesel,Manual,15.4,Mahindra
1816,Maruti Swift Dzire,370000,1032000,2012,Individual,70000,First Owner,Petrol,Manual,17.5,Maruti
1817,Honda Jazz 1.2,650000,1145000,2017,Individual,10000,First Owner,Petrol,Manual,18.7,Honda
1818,Maruti Swift Dzire,500000,1031000,2014,Dealer,55000,First Owner,Petrol,Manual,20.85,Maruti
1819,Honda WR-V Alive,745000,1331000,2017,Dealer,41632,First Owner,Diesel,Manual,25.5,Honda
1820,Hyundai i20 Magna,549000,1324000,2016,Dealer,17749,First Owner,Petrol,Manual,18.6,Hyundai
1821,Maruti Baleno Alpha,750000,1044000,2018,Dealer,18000,First Owner,Petrol,Manual,21.4,Maruti
1822,Hyundai Verna 1.4,500000,1645000,2015,Individual,25000,First Owner,Petrol,Manual,17.43,Hyundai
1823,Volkswagen Polo 2015-2019,480000,1144000,2015,Dealer,54985,First Owner,Petrol,Manual,16.2,Volkswagen
1824,Datsun RediGO S,290000,541000,2018,Individual,16500,First Owner,Petrol,Manual,22.7,Datsun
1825,Mahindra XUV500 W8,611000,2339000,2012,Individual,90000,First Owner,Diesel,Manual,15.1,Mahindra
1826,Ford Figo 1.5P,600000,823000,2016,Individual,25000,First Owner,Petrol,Automatic,17.01,Ford
